Category,Parent,Disease,Syn,,,SNOMED,ConceptID,Profile,Antibodies
Skin,Benign mucous membrane pemphigoid,Benign mucous membrane pemphigoid,N,,,34250006,4142060,"Cicatricial pemphigoid is a rare autoimmune disease, discovered in 2002, that causes blistering of the mucous membranes. This blistering is due to autoantibodies binding to anchoring filaments of the epidermis.  A common mucous membrane that is affected is the conjunctiva of the eye.  Other areas that can be affected include the skin, nose, mouth, and genitals.

Cicatricial pemphigoid is usually not chronic, and most patients symptoms disappear within 3 years.",IgG autoantibodies against BP180 antigen
Vascular system,Raynaud's phenomenon,Raynaud's phenomenon,V,,,266261006,4143972,"In secondary Raynaud's phenomenon, blood flow to the fingers and toes is limited, causing cold extremities and sometimes pain. The condition is made worse by cold temperatures. The amount of time that these extremities stay cold can vary.  

Secondary Raynaud's is a symptom experienced (and reported) by patients with autoimmune diseases.  Primary Raynaud's is when the symptoms appear without any other disease.  Therefore, primary Raynaud's is not an autoimmune disease.  However, a person suffering from Raynaud's could have an undiagnosed autoimmune disease.",
Nervous System,Multiple sclerosis,Relapsing-remitting multiple sclerosis,T,,,426373005,4145049,,
Vascular system,Autoimmune vasculitis,Autoimmune vasculitis,N,,,427213005,4146124,"Autoimmune vasculitis is a broad category of autoimmune diseases that all involve inflammation of the walls of blood vessels.  A more specific form, inflammation of arteries, is called arteritis.  It causes changes in the walls of blood vessels, including thickening, weakening, narrowing and scarring. These changes restrict blood flow, resulting in organ and tissue damage.

There are many types of vasculitis, and most of them are rare. Vasculitis might affect just one organ, such as your skin, or it may involve several. The condition can be short term (acute) or long lasting (chronic).",
Skin,Pemphigus,Pemphigus foliaceus,T,,,35154004,4148690,,Desmogleins 
Heart,Postmyocardial infarction syndrome,Post-pericardiotomy syndrome,T,,,278536002,4150305,,
Skin,Benign mucous membrane pemphigoid,Ocular cicatricial pemphigoid,T,,,314757003,4152707,,
Blood,Cold agglutinin disease,Cold antibody hemolytic anemia,S,,,398937006,4160887,,
Nervous System,Guillain-Barré syndrome,Guillain-Barré syndrome,N,,,40956001,4164770,"Guillain–Barré syndrome (GBS) is a rare autoimmune disorder in which  the immune system attacks and damages the protective covering (myelin) of the nerves in the peripheral nervous system.  Damage to the myelin hinders communication between the brain and the body, leading to muscle weakness or tingling sensations in the arms and legs. The cause of GBS is unknown but may be associated with a viral or bacterial infection, injury, or surgery.  There are 6 types of GBS:

Acute inflammatory demyelinating polyneuropathy is the most prevalently diagnosed form of GBS in the US and is often associated with a prior infection.  This type leads to damage to the nerve myelin, but prognosis is good and full recovery is expected.

Acute motor axonal neuropathy is associated with a prior infection causing diarrhea and is most common in children.  This type primarily leads to weakness, which impairs movement and breathing and may lead to respiratory failure if untreated.  Patients receiving medical attention are expected to recover.

Acute motor-sensory axonal neuropathy is associated with prior infection causing diarrhea and has a sudden, intense onset.  This type is most prevalent in adults.  In addition to severe muscle weakness, patients also experience impairments in the senses.  Prognosis is poor.

Miller-Fisher syndrome is rare and results in difficulties with coordination, loss of reflexes, and paralysis around the eyes, along with impairments in the senses.  Recovery is expected in 1 to 3 months.

Acute panautonomic neuropathy is very rare and impairs both voluntary and involuntary body functions, including drops in blood pressure when standing, incontinence, lack of sweating, dry eyes and mouth, and impaired pupil function.  Many patients experience heart problems, which can be fatal.  Patients may improve, but slowly and incompletely.

Pure sensory GBS causes the sudden appearance of impairments in the senses and loss of reflexes caused by damage to the myelin.  Recovery is expected.",
Skin,Pemphigus,Pemphigus vulgaris,T,,,49420001,4170723,,Desmogleins 
Nervous System,Multiple sclerosis,Primary progressive multiple sclerosis,T,,,428700003,4178929,,
Systemic,Systemic sclerosis with limited cutaneous involvement,Diffuse cutaneous systemic sclerosis,T,,,298285004,4185187,"CREST is a subtype of scleroderma, a connective tissue disease characterized by changes in the skin, blood vessels, skeletal muscles, and internal organs. CREST is the acronym for the clinical features seen in individuals with the disease :                        

C - Calcinosis: calcium deposits in the connective tissues

R - Raynaud's phenomenon: where the hands and feet turn white and cold and then blue, in response to cold or anxiety.

E - Esophageal dysfunction:  where a person has difficulty swallowing 

S - Sclerodactyly: thick and tight skin on the fingers, caused by an excess of collagen deposits within skin layers.

T - Telangiectasia: small red spots on the hands and face that are caused by the swelling of tiny blood vessels.

To be diagnosed with CREST, you must have 3 out of the 5 symptoms.",
Systemic,Systemic sclerosis with limited cutaneous involvement,Systemic sclerosis with limited cutaneous involvement,N,,,298285004,4185187,"Systemic sclerosis with limited cutaneous involvement, formerly called CREST, is a subtype of scleroderma, a connective tissue disease characterized by changes in the skin, blood vessels, skeletal muscles, and internal organs. CREST is the acronym for the clinical features seen in individuals with the disease :                        

C - Calcinosis: calcium deposits in the connective tissues

R - Raynaud's phenomenon: where the hands and feet turn white and cold and then blue, in response to cold or anxiety.

E - Esophageal dysfunction:  where a person has difficulty swallowing 

S - Sclerodactyly: thick and tight skin on the fingers, caused by an excess of collagen deposits within skin layers.

T - Telangiectasia: small red spots on the hands and face that are caused by the swelling of tiny blood vessels.

To be diagnosed with CREST, you must have 3 out of the 5 symptoms.",
Glands,Female infertility due to antisperm antibodies,Female infertility due to antisperm antibodies,N,,,414238007,4188008,"Anti-sperm antibodies (ASA) is a lab measurement, not a disease, but a high level of ASA may point to an autoimmune condition.

In women, ASA is an allergic response that can be an immunologic cause of infertility. 

ASA is not a concern except for people trying to conceive. ",
Nervous System,POEMS syndrome,POEMS syndrome,N,,,79268002,4193776,"POEMS is an acronym that stands for the disorder's features, which may include Polyneuropathy (disease affecting many nerves), Organomegaly (abnormal enlargement of an organ), Endocrinopathy (diseases affecting certain hormone-producing glands that help to regulate sexual function), Monoclonal gammopathy and Skin Changes. POEMS syndrome is a rare blood disorder where there is an uncontrolled growth of a single clone of plasma cells, which results in abnormal accumulation of immunoglobulins in the blood. ",
Nervous System,Intermediate uveitis,Intermediate uveitis,N,,,314429009,4197155,"Intermediate uveitis is a disorder that causes inflammation in the vitreous humour, the gel that fills the eye. In this condition, cells from the blood may penetrate the eye's interior and be found suspended in the vitreous humour. Normally, both eyes are affected. Patients with the pars planitis subtype of intermediate uveitis also have additional inflammation in the pars plana (the layer of the eye between the iris and the vitreous humour). This occurs when cells from the vitreous humour leak into the pars plana. This subtype is more common in children, while non-pars planitis intermediate uveitis is more common in adults. The non-pars planitis subtype is especially common in those with systemic conditions, such as sarcoidosis and multiple sclerosis, or in those who have certain infections. Some cases without infection may be caused by autoimmune activity. Patients of both pars planitis and non-pars planitis subtypes often experience floaters and blurry vision. Without medical attention, vision loss and blindness may occur in severe cases; however, treatments are available to prevent this.

There are other forms of <a href=""/Disease_Profile/uveitis.aspx"">uveitis</a> that can be autoimmune.",
